,placekey,location_name,top_category,naics_code,poi_cbg
9218,zzw-225@628-p9k-cyv,Ann Kids,Elementary and Secondary Schools,611110,421010360001.0
9219,zzw-225@628-pm7-3yv,South Philly Halal Food,Specialty Food Stores,445299,421010038002.0
9220,zzw-227@628-p77-pvz,Artigiano Pizza,Restaurants and Other Eating Places,722511,421010353013.0
9221,zzw-229@628-pgf-3bk,Pennsylvania Optometrics Vision Center,Offices of Other Health Practitioners,621320,421010369001.0
9222,zzw-229@628-pnw-m49,Apricotstone,Restaurants and Other Eating Places,722511,421010142002.0
9223,zzw-22c@628-p9p-z2k,Subway,Restaurants and Other Eating Places,722513,421010356014.0
9224,zzw-22c@628-pm5-bzf,Viet French Cafe and Sandwiches,Restaurants and Other Eating Places,722511,421010372004.0
9225,zzw-22d@628-pmb-7yv,Bassetts Ice Cream,Restaurants and Other Eating Places,722515,421010005001.0
9226,zzy-222@628-p86-c89,Fox Chase Playground,"Museums, Historical Sites, and Similar Institutions",712190,421010341003.0
9227,zzy-222@63s-dvr-k9f,Woodland Academy Child Development Center,Child Day Care Services,624410,421010069003.0
9228,zzz-222@628-phz-vs5,Harrowgate Park,"Museums, Historical Sites, and Similar Institutions",712190,421010188007.0
9229,zzz-222@628-pjg-h3q,Wissahickon East,"Museums, Historical Sites, and Similar Institutions",712190,421010256003.0
9230,zzz-222@63s-dvx-8d9,Park And Open Space,"Museums, Historical Sites, and Similar Institutions",712190,421010092001.0
9231,222-222@628-p8f-c5z,MCA Motor Club of America,Automobile Dealers,441120,421010300007.0
9232,222-222@628-pg4-ndv,Haitian Church Of Christ Of Philadelphia,Religious Organizations,813110,421010248002.0
9233,222-222@628-pgf-n5z,Sedgley Club,Drinking Places (Alcoholic Beverages),722410,421019800001.0
9234,222-222@628-pgm-f2k,Bachelors Barge Club,Drinking Places (Alcoholic Beverages),722410,421010207004.0
9235,222-222@628-pj5-tn5,Little Flower Catholic High School,Elementary and Secondary Schools,611110,421010198001.0
9236,222-222@628-pmv-5cq,Navy Yard Food Trucks,Restaurants and Other Eating Places,722515,421010050001.0
9237,222-222@63s-dwd-xqz,Boat Detailing by Paradice Aviation & Marine,Other Motor Vehicle Dealers,441222,421010373003.0
9238,222-224@628-p9k-dy9,Acme Markets,Grocery Stores,445110,421010356014.0
9239,223-222@628-pft-yjv,Murphy's Tavern,Restaurants and Other Eating Places,722511,421010211002.0
9240,223-222@628-pgf-33q,Hello World,Home Furnishings Stores,4422,421010369001.0
9241,223-222@628-pm3-yy9,South Philadelphia Prayer Community,Religious Organizations,813110,421010041013.0
9242,224-222@628-pfy-j5f,Mattress Firm Roxborough Manayunk,Furniture Stores,442110,421010216002.0
9243,224-223@628-pfy-j5f,R & R Produce Garden Center,Lawn and Garden Equipment and Supplies Stores,4442,421010216002.0
